age_grouped,percentage,cluster
25 — 34,34.83,0
35 — 44,25.54,0
18 — 24,19.64,0
45 — 54,13.83,0
55+,5.89,0
missing,0.28,0
25 — 34,28.19,1
35 — 44,25.04,1
18 — 24,20.99,1
45 — 54,16.55,1
55+,8.63,1
missing,0.59,1
25 — 34,38.2,2
35 — 44,26.81,2
18 — 24,17.69,2
45 — 54,12.05,2
55+,4.92,2
missing,0.33,2
missing,59.29,3
25 — 34,11.43,3
35 — 44,10.86,3
18 — 24,10.57,3
45 — 54,5.57,3
55+,2.29,3
