season_category,percentage,cluster
Not high,51.65,-1
High season,48.35,-1
Not high,56.76,0
High season,43.24,0
Not high,50.87,1
High season,49.13,1
High season,52.61,2
Not high,47.39,2
High season,98.55,3
Not high,1.45,3
Not high,64.49,4
High season,35.51,4
Not high,88.44,5
High season,11.56,5
Not high,56.76,6
High season,43.24,6
