question_0,percentage,cluster
1,76.86,0
0,23.07,0
missing,0.07,0
1,68.16,1
0,31.77,1
missing,0.07,1
1,84.93,2
0,14.89,2
missing,0.18,2
missing,44.71,3
1,39.86,3
0,15.43,3
