question_0,percentage,cluster
missing,99.79,-1
0,0.14,-1
1,0.07,-1
1,67.66,0
0,26.57,0
missing,5.77,0
1,84.12,1
0,15.25,1
missing,0.63,1
1,84.81,2
0,15.0,2
missing,0.19,2
1,65.33,3
0,34.52,3
missing,0.16,3
1,75.96,4
0,23.92,4
missing,0.11,4
1,71.23,5
0,28.57,5
missing,0.2,5
1,75.14,6
0,24.72,6
missing,0.14,6
