question_2,percentage,cluster
1,88.52,0
0,11.35,0
missing,0.13,0
1,86.78,1
0,13.06,1
missing,0.16,1
1,95.57,2
0,4.23,2
missing,0.21,2
1,45.57,3
missing,45.29,3
0,9.14,3
