version_grouped,percentage,cluster
after_299,56.38,-1
before_299,43.62,-1
after_299,55.09,0
before_299,44.91,0
before_299,64.88,1
after_299,35.12,1
before_299,59.88,2
after_299,40.12,2
after_299,99.93,3
before_299,0.07,3
before_299,62.68,4
after_299,37.32,4
after_299,99.66,5
before_299,0.34,5
before_299,99.56,6
after_299,0.44,6
