question_1,percentage,cluster
0,56.25,0
1,43.47,0
missing,0.28,0
0,58.84,1
1,41.01,1
missing,0.14,1
0,56.11,2
1,43.5,2
missing,0.38,2
missing,45.0,3
0,30.14,3
1,24.86,3
