survey_answer,percentage,cluster
motivation,31.56,0
knowledge,29.39,0
personal_growth,20.74,0
develop_skills,13.0,0
missing,4.11,0
dont_relate,1.19,0
knowledge,31.28,1
motivation,30.99,1
personal_growth,18.01,1
develop_skills,13.17,1
missing,5.4,1
dont_relate,1.15,1
missing,95.67,2
motivation,1.59,2
personal_growth,1.2,2
knowledge,0.74,2
develop_skills,0.74,2
dont_relate,0.05,2
missing,78.86,3
knowledge,6.0,3
motivation,5.86,3
personal_growth,4.0,3
develop_skills,3.43,3
dont_relate,1.86,3
