statement_3,percentage,cluster
1,88.55,0
0,10.04,0
missing,0.83,0
no_step,0.58,0
1,87.28,1
0,9.95,1
missing,1.64,1
no_step,1.13,1
no_step,76.06,2
missing,21.87,2
1,1.38,2
0,0.69,2
missing,42.14,3
1,41.43,3
0,9.43,3
no_step,7.0,3
