product_id_grouped,percentage,cluster
trial_yearly,79.62,0
paid_yearly,9.27,0
paid_monthly_pro,5.8,0
paid_yearly_pro,4.04,0
paid_3months,1.28,0
trial_yearly,78.63,1
paid_yearly,9.25,1
paid_monthly_pro,6.65,1
paid_yearly_pro,4.04,1
paid_3months,1.44,1
paid_yearly,70.16,2
trial_yearly,20.55,2
paid_monthly_pro,5.24,2
paid_yearly_pro,2.09,2
paid_3months,1.96,2
trial_yearly,58.7,3
paid_yearly,32.61,3
paid_monthly_pro,5.43,3
paid_yearly_pro,3.26,3
