question_1,percentage,cluster
0,81.22,0
1,18.31,0
missing,0.46,0
0,73.2,1
1,25.54,1
missing,1.27,1
1,56.73,2
0,42.18,2
missing,1.09,2
0,68.47,3
1,30.26,3
missing,1.27,3
1,66.98,4
0,32.68,4
missing,0.34,4
1,72.04,5
0,27.86,5
missing,0.1,5
