question_1,percentage,cluster
missing,99.79,-1
0,0.11,-1
1,0.11,-1
0,50.54,0
1,43.06,0
missing,6.4,0
0,58.24,1
1,41.02,1
missing,0.74,1
0,58.17,2
1,41.55,2
missing,0.28,2
0,55.66,3
1,44.16,3
missing,0.18,3
0,58.09,4
1,41.64,4
missing,0.26,4
0,60.94,5
1,38.83,5
missing,0.23,5
0,55.58,6
1,44.07,6
missing,0.35,6
