gender_grouped,percentage,cluster
missing,62.03,-1
male,19.41,-1
female,16.07,-1
Other,2.49,-1
missing,40.73,0
male,31.76,0
female,23.4,0
Other,4.11,0
female,57.64,1
male,40.85,1
missing,0.79,1
Other,0.73,1
female,58.73,2
male,40.04,2
missing,0.85,2
Other,0.39,2
female,54.72,3
male,43.42,3
Other,1.45,3
missing,0.41,3
male,51.4,4
female,46.92,4
Other,1.32,4
missing,0.36,4
male,52.05,5
female,46.06,5
Other,1.44,5
missing,0.44,5
female,52.97,6
male,45.21,6
Other,1.47,6
missing,0.34,6
