selected_books_grouped,percentage,cluster
missing,99.32,-1
expected,0.43,-1
unusual,0.25,-1
expected,70.85,0
missing,15.32,0
unusual,13.82,0
expected,99.43,1
unusual,0.41,1
missing,0.16,1
expected,98.61,2
unusual,1.06,2
missing,0.33,2
unusual,81.07,3
missing,13.45,3
expected,5.48,3
expected,98.43,4
unusual,1.33,4
missing,0.25,4
expected,97.31,5
unusual,2.03,5
missing,0.67,5
expected,99.45,6
unusual,0.47,6
missing,0.08,6
