question_0,percentage,cluster
1,72.72,0
0,26.91,0
missing,0.37,0
1,71.62,1
0,27.13,1
missing,1.25,1
1,64.82,2
0,34.11,2
missing,1.07,2
1,82.31,3
0,16.53,3
missing,1.16,3
1,77.93,4
0,21.91,4
missing,0.16,4
1,74.72,5
0,25.25,5
missing,0.03,5
