question_2,percentage,cluster
missing,99.79,-1
1,0.18,-1
0,0.04,-1
1,78.24,0
0,15.22,0
missing,6.54,0
1,94.68,1
0,4.63,1
missing,0.68,1
1,95.83,2
0,3.9,2
missing,0.27,2
1,86.03,3
0,13.79,3
missing,0.17,3
1,89.51,4
0,10.33,4
missing,0.15,4
1,87.18,5
0,12.57,5
missing,0.25,5
1,87.1,6
0,12.7,6
missing,0.19,6
