goal_adjust_grouped,percentage,cluster
default_goal,72.19,0
small_goal,11.42,0
big_goal,9.42,0
medium_goal,6.97,0
default_goal,38.33,1
small_goal,32.95,1
big_goal,19.38,1
medium_goal,9.33,1
