product_id_grouped,percentage,cluster
trial_yearly,76.28,0
paid_yearly,8.7,0
paid_monthly_pro,8.7,0
paid_yearly_pro,4.55,0
paid_3months,1.78,0
trial_yearly,69.85,1
paid_yearly,19.6,1
paid_monthly_pro,5.79,1
paid_yearly_pro,3.38,1
paid_3months,1.38,1
