statement_1,percentage,cluster
1,76.22,0
0,23.77,0
missing,0.01,0
1,77.35,1
0,22.65,1
1,96.95,2
0,3.0,2
missing,0.05,2
1,46.29,3
missing,39.43,3
0,14.29,3
