statement_3,percentage,cluster
1,86.27,0
0,11.04,0
missing,1.43,0
no_step,1.26,0
1,74.84,1
0,10.5,1
no_step,7.43,1
missing,7.23,1
1,84.34,2
0,9.56,2
no_step,3.12,2
missing,2.97,2
no_step,68.78,3
missing,14.55,3
1,13.0,3
0,3.66,3
1,89.38,4
0,8.4,4
missing,1.57,4
no_step,0.65,4
1,89.47,5
0,7.95,5
missing,1.63,5
no_step,0.94,5
