statement_1,percentage,cluster
missing,98.68,-1
1,0.78,-1
0,0.53,-1
1,75.22,0
0,23.79,0
missing,0.99,0
1,96.78,1
0,3.11,1
missing,0.11,1
1,96.01,2
0,3.85,2
missing,0.14,2
1,77.53,3
0,22.47,3
1,77.81,4
0,22.19,4
missing,0.0,4
1,75.5,5
0,24.5,5
1,75.68,6
0,24.32,6
