age_grouped,percentage,cluster
25 — 34,25.01,0
35 — 44,23.02,0
18 — 24,17.59,0
45 — 54,14.96,0
missing,11.76,0
55+,7.65,0
25 — 34,33.65,1
35 — 44,26.56,1
18 — 24,19.28,1
45 — 54,13.69,1
55+,6.16,1
missing,0.67,1
