goal_adjust_grouped,percentage,cluster
small_goal,42.77,0
default_goal,27.74,0
big_goal,17.96,0
medium_goal,11.53,0
default_goal,79.2,1
big_goal,9.32,1
medium_goal,8.45,1
small_goal,3.02,1
small_goal,34.5,2
big_goal,31.63,2
default_goal,28.71,2
medium_goal,5.15,2
default_goal,50.14,3
small_goal,42.86,3
big_goal,3.71,3
medium_goal,3.29,3
