life_desires_engagement,percentage,cluster
expected,90.99,0
unusual,7.12,0
missing,1.89,0
expected,91.92,1
unusual,4.83,1
missing,3.24,1
expected,91.7,2
unusual,5.22,2
missing,3.08,2
expected,91.61,3
unusual,5.8,3
missing,2.58,3
expected,95.19,4
unusual,3.58,4
missing,1.24,4
expected,94.17,5
unusual,5.04,5
missing,0.79,5
