country_grouped,percentage,cluster
United States,46.2,0
Europe,25.3,0
Other,11.24,0
United Kingdom,6.69,0
Canada,6.06,0
Australia,3.92,0
Latam,0.58,0
United States,46.57,1
Europe,21.93,1
Other,11.76,1
United Kingdom,9.57,1
Canada,5.47,1
Australia,3.56,1
Latam,1.13,1
Latam,76.06,2
Europe,12.36,2
United States,8.51,2
Other,1.79,2
Canada,0.67,2
United Kingdom,0.36,2
Australia,0.26,2
United States,36.71,3
Europe,24.57,3
Other,15.43,3
Latam,7.0,3
United Kingdom,6.71,3
Canada,6.14,3
Australia,3.43,3
