quiz_duration_grouped,percentage,cluster
short,57.04,0
medium,28.23,0
long,14.73,0
short,50.86,1
medium,31.82,1
long,17.33,1
short,45.69,2
medium,35.44,2
long,18.87,2
medium,55.84,3
short,23.79,3
long,20.38,3
short,54.72,4
medium,29.66,4
long,15.62,4
medium,74.84,5
long,12.62,5
short,12.55,5
