statement_1,percentage,cluster
1,75.97,0
0,23.77,0
missing,0.26,0
1,80.55,1
0,18.34,1
missing,1.11,1
1,76.63,2
0,22.47,2
missing,0.9,2
1,90.83,3
0,8.12,3
missing,1.05,3
1,77.9,4
0,22.0,4
missing,0.11,4
1,77.45,5
0,22.52,5
missing,0.03,5
