engagement_window,percentage,cluster
none,95.27,-1
focused,3.59,-1
flexible,1.14,-1
none,55.77,0
focused,39.52,0
flexible,4.71,0
focused,59.12,1
flexible,38.38,1
none,2.5,1
focused,57.2,2
flexible,40.48,2
none,2.32,2
focused,97.35,3
flexible,2.42,3
none,0.23,3
flexible,99.98,4
none,0.02,4
focused,0.0,4
focused,96.94,5
none,2.65,5
flexible,0.41,5
focused,97.04,6
none,2.77,6
flexible,0.19,6
