statement_2,percentage,cluster
1,87.52,0
0,12.47,0
missing,0.01,0
1,87.07,1
0,12.93,1
1,88.05,2
0,11.87,2
missing,0.08,2
1,46.0,3
missing,40.43,3
0,13.57,3
