country_grouped,percentage,cluster
United States,51.11,0
Europe,13.82,0
Other,12.28,0
United Kingdom,11.31,0
Canada,5.14,0
Australia,4.0,0
Latam,2.34,0
United States,35.02,1
Europe,23.55,1
Latam,20.29,1
Other,8.81,1
Canada,4.79,1
United Kingdom,4.76,1
Australia,2.76,1
