quiz_duration_grouped,percentage,cluster
short,42.14,0
medium,39.28,0
long,18.58,0
short,43.98,1
medium,36.54,1
long,19.48,1
medium,41.86,2
short,31.02,2
long,27.12,2
short,83.14,3
medium,11.14,3
long,5.71,3
