statement_2,percentage,cluster
missing,99.64,-1
0,0.18,-1
1,0.18,-1
1,78.28,0
0,19.84,0
missing,1.89,0
1,87.84,1
0,12.03,1
missing,0.13,1
1,88.76,2
0,11.09,2
missing,0.15,2
1,88.47,3
0,11.53,3
1,88.23,4
0,11.76,4
missing,0.01,4
1,84.88,5
0,15.12,5
1,86.96,6
0,13.03,6
missing,0.0,6
