device_grouped,percentage,cluster
iPhone_new,84.09,0
iPhone_old,13.49,0
Other,1.23,0
iPad,1.18,0
iPhone_new,85.34,1
iPhone_old,13.3,1
iPad,1.04,1
Other,0.33,1
iPhone_new,87.18,2
iPhone_old,11.26,2
iPad,1.27,2
Other,0.29,2
iPhone_new,75.34,3
iPhone_old,23.44,3
iPad,1.08,3
Other,0.15,3
iPhone_new,83.69,4
iPhone_old,15.0,4
iPad,1.06,4
Other,0.26,4
iPhone_new,81.19,5
iPhone_old,16.54,5
iPad,1.55,5
Other,0.72,5
