device_grouped,percentage,cluster
iPhone_new,79.76,0
iPhone_old,18.05,0
iPad,1.44,0
Other,0.75,0
iPhone_new,82.95,1
iPhone_old,15.11,1
iPad,1.6,1
Other,0.34,1
iPhone_new,67.03,2
iPhone_old,31.89,2
iPad,0.97,2
Other,0.1,2
iPhone_new,77.57,3
iPhone_old,17.57,3
iPad,2.86,3
Other,2.0,3
