device_grouped,percentage,cluster
iPhone_new,82.12,0
iPhone_old,15.53,0
iPad,2.0,0
Other,0.34,0
iPhone_new,77.08,1
iPhone_old,21.15,1
iPad,1.32,1
Other,0.45,1
