streak_commitment_level,percentage,cluster
basic_commit,77.6,0
strong_commit,22.1,0
no_commit,0.3,0
basic_commit,69.27,1
strong_commit,29.77,1
no_commit,0.96,1
basic_commit,78.57,2
strong_commit,20.64,2
no_commit,0.79,2
basic_commit,74.36,3
strong_commit,24.5,3
no_commit,1.14,3
basic_commit,76.59,4
strong_commit,23.13,4
no_commit,0.28,4
basic_commit,76.82,5
strong_commit,23.14,5
no_commit,0.03,5
