statement_2,percentage,cluster
1,82.63,0
0,17.11,0
missing,0.27,0
1,85.81,1
0,13.07,1
missing,1.12,1
1,88.07,2
0,11.02,2
missing,0.91,2
1,87.45,3
0,11.47,3
missing,1.08,3
1,91.75,4
0,8.14,4
missing,0.11,4
1,89.52,5
0,10.44,5
missing,0.03,5
