what_summary_is_answer,percentage,cluster
yes,56.31,0
not_sure,22.59,0
no,20.18,0
missing,0.91,0
missing,67.08,1
yes,15.96,1
no,9.14,1
not_sure,7.83,1
missing,94.08,2
yes,2.28,2
no,2.0,2
not_sure,1.64,2
missing,77.86,3
yes,13.71,3
not_sure,4.71,3
no,3.71,3
