engagement_window,percentage,cluster
focused,62.91,0
flexible,34.71,0
none,2.38,0
focused,68.6,1
flexible,28.79,1
none,2.6,1
focused,92.96,2
flexible,5.49,2
none,1.55,2
focused,57.69,3
flexible,39.32,3
none,2.99,3
flexible,67.24,4
focused,30.94,4
none,1.81,4
focused,74.35,5
flexible,24.76,5
none,0.89,5
