life_desires_engagement,percentage,cluster
missing,84.18,-1
expected,13.51,-1
unusual,2.31,-1
missing,97.85,0
unusual,1.41,0
expected,0.74,0
expected,88.76,1
unusual,10.64,1
missing,0.6,1
expected,88.5,2
unusual,10.47,2
missing,1.02,2
expected,92.7,3
unusual,7.26,3
missing,0.04,3
expected,96.51,4
unusual,3.36,4
missing,0.13,4
expected,89.17,5
unusual,10.77,5
missing,0.06,5
expected,89.24,6
unusual,10.67,6
missing,0.09,6
