push_allow,percentage,cluster
missing,96.2,-1
allow,1.99,-1
denied,1.81,-1
denied,51.56,0
allow,43.85,0
missing,4.58,0
allow,71.35,1
denied,24.53,1
missing,4.12,1
allow,77.83,2
denied,20.58,2
missing,1.59,2
allow,75.36,3
denied,24.64,3
allow,79.44,4
denied,16.39,4
missing,4.17,4
allow,72.29,5
denied,27.7,5
missing,0.01,5
allow,72.05,6
denied,19.02,6
missing,8.93,6
