goal_adjust_grouped,percentage,cluster
default_goal,52.16,0
small_goal,25.88,0
big_goal,12.8,0
medium_goal,9.15,0
big_goal,43.67,1
default_goal,43.38,1
medium_goal,10.16,1
small_goal,2.79,1
default_goal,85.64,2
medium_goal,6.19,2
big_goal,5.78,2
small_goal,2.39,2
small_goal,46.32,3
big_goal,27.45,3
default_goal,21.43,3
medium_goal,4.81,3
small_goal,69.11,4
big_goal,15.15,4
default_goal,8.03,4
medium_goal,7.72,4
default_goal,57.72,5
small_goal,19.37,5
big_goal,13.69,5
medium_goal,9.21,5
