what_summary_is_answer,percentage,cluster
missing,94.31,-1
yes,2.95,-1
not_sure,1.46,-1
no,1.28,-1
missing,66.55,0
yes,20.33,0
not_sure,7.25,0
no,5.87,0
missing,87.99,1
yes,6.29,1
not_sure,2.98,1
no,2.73,1
missing,94.69,2
yes,2.52,2
not_sure,1.43,2
no,1.37,2
missing,99.78,3
no,0.09,3
not_sure,0.07,3
yes,0.05,3
yes,53.88,4
not_sure,22.4,4
no,20.42,4
missing,3.3,4
yes,38.23,5
missing,29.53,5
no,17.04,5
not_sure,15.2,5
yes,56.35,6
no,21.77,6
not_sure,21.53,6
missing,0.35,6
