survey_answer,percentage,cluster
motivation,28.33,0
knowledge,27.01,0
missing,17.93,0
personal_growth,13.31,0
develop_skills,12.45,0
dont_relate,0.97,0
missing,29.13,1
motivation,23.15,1
knowledge,22.21,1
personal_growth,15.27,1
develop_skills,9.38,1
dont_relate,0.85,1
